,apparentTemperature,cloudCover,humidity,precipType,pressure,summary,temperature,windBearing,windSpeed
01/01/2018 00:00,3.71,0.75,0.8,rain,996.34,Mostly Cloudy,6.81,252,4.76
01/01/2018 01:00,3.3,0.38,0.8,,997.3,Partly Cloudy,6.52,251,4.87
01/01/2018 02:00,2.84,0.09,0.8,,998.4,Clear,6.14,246,4.83
01/01/2018 03:00,3.02,0.05,0.81,,998.8,Clear,5.72,246,3.54
01/01/2018 04:00,2.61,0.31,0.82,,998.72,Partly Cloudy,5.48,232,3.73
01/01/2018 05:00,2.66,0.37,0.81,,998.65,Partly Cloudy,5.57,241,3.82
01/01/2018 06:00,2.24,0.06,0.83,,998.12,Clear,5.16,230,3.7
01/01/2018 07:00,2.86,0,0.84,,997.79,Clear,5.06,218,2.63
01/01/2018 08:00,3.06,0,0.85,,997.26,Clear,5.12,212,2.49
01/01/2018 09:00,3.4,0,0.86,,996.63,Clear,5.26,205,2.28
01/01/2018 10:00,5.76,0.13,0.85,,996.26,Clear,5.76,183,1.28
01/01/2018 11:00,4.94,0.24,0.86,rain,995.61,Clear,5.99,172,1.6
01/01/2018 12:00,6.46,0.81,0.87,rain,995.11,Mostly Cloudy,6.46,201,0.98
01/01/2018 13:00,6.74,0.65,0.89,rain,995.14,Mostly Cloudy,6.74,220,1.12
01/01/2018 14:00,4.46,0.81,0.88,rain,995.17,Mostly Cloudy,6.59,258,2.94
01/01/2018 15:00,3.76,0.68,0.85,rain,995.93,Mostly Cloudy,6.16,282,3.2
01/01/2018 16:00,3.36,0.54,0.85,rain,997.26,Partly Cloudy,5.71,278,3
01/01/2018 17:00,3.38,0.58,0.87,,998.41,Partly Cloudy,5.47,264,2.59
01/01/2018 18:00,3.11,0.31,0.86,,999.4,Partly Cloudy,5.52,258,3.02
01/01/2018 19:00,3.52,0.66,0.82,,1000.66,Mostly Cloudy,6.31,256,3.9
01/01/2018 20:00,3.73,0.38,0.76,,1001.69,Partly Cloudy,6.67,271,4.35
01/01/2018 21:00,3.99,0.86,0.74,,1002.92,Mostly Cloudy,7.21,275,5.26
01/01/2018 22:00,3.98,0.94,0.73,,1004.29,Overcast,7.2,278,5.26
01/01/2018 23:00,3.6,0.6,0.75,,1005.79,Mostly Cloudy,6.56,285,4.34
02/01/2018 00:00,3.29,0.28,0.77,,1007.52,Partly Cloudy,6.22,281,4.11
02/01/2018 01:00,2.78,0,0.78,,1008.55,Clear,5.74,273,3.97
02/01/2018 02:00,2.92,0,0.79,,1009.3,Clear,5.4,265,3.09
02/01/2018 03:00,2.59,0,0.8,,1009.62,Clear,4.97,266,2.84
02/01/2018 04:00,1.49,0,0.83,,1010.4,Clear,4.55,259,3.7
02/01/2018 05:00,1.46,0,0.83,,1010.7,Clear,4.19,261,3.1
02/01/2018 06:00,1.44,0,0.83,,1010.96,Clear,3.63,257,2.32
02/01/2018 07:00,1.6,0.05,0.87,,1011.41,Clear,3.36,235,1.88
02/01/2018 08:00,1.73,0.05,0.87,,1010.7,Clear,3.36,208,1.76
02/01/2018 09:00,2.79,0,0.87,,1010.76,Clear,3.86,199,1.39
02/01/2018 10:00,3.77,0.11,0.85,,1010.46,Clear,4.76,192,1.43
02/01/2018 11:00,3.67,0.22,0.86,rain,1008.96,Clear,5.43,187,2.19
02/01/2018 12:00,4.17,0.87,0.92,rain,1007.37,Light Rain,5.82,182,2.17
02/01/2018 13:00,4.76,0.75,0.94,rain,1005.46,Light Rain,6.64,168,2.61
02/01/2018 14:00,5.42,1,0.95,rain,1003.03,Overcast,7.61,182,3.35
02/01/2018 15:00,6.35,1,0.95,rain,1002.28,Overcast,8.45,205,3.52
02/01/2018 16:00,7.55,0.88,0.94,rain,1001.99,Mostly Cloudy,9.23,233,3.06
02/01/2018 17:00,7.84,0.24,0.93,,1001.46,Clear,9.33,237,2.79
02/01/2018 18:00,7.87,0.24,0.91,,1000.79,Clear,9.52,234,3.11
02/01/2018 19:00,7.91,0.1,0.91,rain,998.73,Clear,9.43,206,2.87
02/01/2018 20:00,7.18,0.73,0.9,rain,997.62,Mostly Cloudy,9.57,215,4.65
02/01/2018 21:00,7.07,0.8,0.92,rain,994.76,Light Rain,9.46,211,4.62
02/01/2018 22:00,10.16,0.8,0.94,rain,991.49,Light Rain,10.16,210,4.78
02/01/2018 23:00,11.28,0.94,0.93,rain,988.45,Overcast,11.28,218,5.24
03/01/2018 00:00,11.43,0.75,0.89,rain,987.46,Rain,11.43,248,6.05
03/01/2018 01:00,10.26,0.34,0.8,rain,988.27,Rain,10.26,265,5.92
03/01/2018 02:00,6.29,0.54,0.79,rain,987.86,Partly Cloudy,9.27,253,6.11
03/01/2018 03:00,5.5,0.54,0.73,rain,987.69,Partly Cloudy,8.98,253,7.45
03/01/2018 04:00,3.92,0.75,0.74,rain,987.96,Mostly Cloudy,7.33,268,5.82
03/01/2018 05:00,3.98,0.67,0.71,rain,987.92,Mostly Cloudy,7.43,259,5.99
03/01/2018 06:00,3.67,0.74,0.71,rain,989.7,Mostly Cloudy,7.21,259,6.09
03/01/2018 07:00,3.8,0.75,0.71,rain,990.58,Mostly Cloudy,7.21,257,5.74
03/01/2018 08:00,3.67,0.67,0.7,,991.51,Mostly Cloudy,7.37,253,6.65
03/01/2018 09:00,4.14,0.61,0.72,,993.04,Mostly Cloudy,7.53,261,5.93
03/01/2018 10:00,4.72,0.61,0.7,,994.75,Mostly Cloudy,8.07,265,6.22
03/01/2018 11:00,5.85,0.86,0.69,,995.35,Mostly Cloudy,8.69,258,5.28
03/01/2018 12:00,6.63,0.61,0.66,,996.6,Mostly Cloudy,9.48,266,5.86
03/01/2018 13:00,7.32,0.79,0.64,,997.57,Mostly Cloudy,9.68,263,4.67
03/01/2018 14:00,7.08,0.75,0.62,,997.93,Mostly Cloudy,9.97,269,6.39
03/01/2018 15:00,6.81,0.67,0.64,,999.24,Mostly Cloudy,9.47,264,5.3
03/01/2018 16:00,5.87,0.44,0.66,,999.61,Partly Cloudy,8.72,267,5.31
03/01/2018 17:00,5.96,0.24,0.68,,999.8,Clear,8.46,256,4.32
03/01/2018 18:00,5.71,0.44,0.72,,999.97,Partly Cloudy,8.36,250,4.6
03/01/2018 19:00,5.81,0.13,0.73,,1000.4,Clear,8.44,253,4.6
03/01/2018 20:00,5.81,0.32,0.74,,999.99,Partly Cloudy,8.24,255,4.06
03/01/2018 21:00,5.53,0.75,0.75,,999.95,Mostly Cloudy,7.83,249,3.64
03/01/2018 22:00,5.36,0.93,0.77,,1000.3,Mostly Cloudy,7.66,245,3.55
03/01/2018 23:00,4.68,0.93,0.81,,1000.23,Mostly Cloudy,7.06,244,3.46
04/01/2018 00:00,4.92,0.66,0.82,,999.67,Mostly Cloudy,6.98,250,2.95
04/01/2018 01:00,4.31,0.31,0.83,,999.13,Partly Cloudy,6.83,249,3.64
04/01/2018 02:00,4.19,0,0.82,,999.04,Clear,6.74,244,3.64
04/01/2018 03:00,4.35,0,0.83,,998.61,Clear,6.64,248,3.19
04/01/2018 04:00,4.73,0,0.84,,997.49,Clear,6.55,240,2.51
04/01/2018 05:00,5.61,0.22,0.88,rain,997.08,Clear,6.37,234,1.43
04/01/2018 06:00,6.01,0.75,0.93,rain,996.35,Light Rain,6.01,210,0.62
04/01/2018 07:00,5.93,0.88,0.95,rain,994.69,Light Rain,5.93,132,1.05
04/01/2018 08:00,5.14,1,0.96,rain,993.65,Light Rain,5.88,133,1.36
04/01/2018 09:00,4.94,1,0.96,rain,992.37,Light Rain,6.16,141,1.78
04/01/2018 10:00,6.22,0.87,0.97,rain,991.53,Light Rain,6.95,174,1.46
04/01/2018 11:00,7.86,0.8,0.97,rain,990.67,Mostly Cloudy,8.85,219,2
04/01/2018 12:00,10.79,0.8,0.89,rain,989.42,Mostly Cloudy,10.79,247,3.85
04/01/2018 13:00,11.11,0.88,0.82,rain,989.3,Mostly Cloudy,11.11,246,4.59
04/01/2018 14:00,11.04,0.88,0.72,rain,988.58,Mostly Cloudy,11.04,256,5.52
04/01/2018 15:00,10.19,0.8,0.73,,989.43,Mostly Cloudy,10.19,253,6.08
04/01/2018 16:00,6.19,0.88,0.71,,990.8,Mostly Cloudy,9.38,259,6.83
04/01/2018 17:00,5.2,0.68,0.7,,992.24,Mostly Cloudy,8.47,266,6.27
04/01/2018 18:00,4.73,0.48,0.72,,993.57,Partly Cloudy,7.9,262,5.59
04/01/2018 19:00,4.17,0.05,0.75,,994.3,Clear,7.22,258,4.85
04/01/2018 20:00,3.69,0,0.78,,994.74,Clear,6.75,242,4.62
04/01/2018 21:00,4.13,0,0.79,,994.84,Clear,6.91,246,4.14
04/01/2018 22:00,4.41,0.13,0.82,,994.21,Clear,6.76,241,3.32
04/01/2018 23:00,4.23,0.41,0.86,rain,993.73,Partly Cloudy,6.24,231,2.68
05/01/2018 00:00,4.62,0.46,0.88,rain,993.28,Partly Cloudy,5.86,226,1.76
05/01/2018 01:00,3.85,0.28,0.89,rain,993.1,Partly Cloudy,5.18,241,1.75
05/01/2018 02:00,4.02,0.28,0.91,,993.52,Partly Cloudy,5.38,235,1.8
05/01/2018 03:00,3.97,0.68,0.92,rain,993.6,Mostly Cloudy,5.72,242,2.25
05/01/2018 04:00,4.29,0.88,0.93,rain,993.47,Mostly Cloudy,5.72,228,1.91
05/01/2018 05:00,4.36,0.68,0.9,,993.2,Mostly Cloudy,5.71,220,1.84
05/01/2018 06:00,4.02,0.37,0.89,,993.41,Partly Cloudy,5.63,221,2.07
05/01/2018 07:00,3.85,0.66,0.89,,993.16,Mostly Cloudy,5.62,215,2.26
05/01/2018 08:00,4.48,0.36,0.9,rain,992.94,Partly Cloudy,5.98,193,2.03
05/01/2018 09:00,4.94,0.46,0.88,rain,992.97,Partly Cloudy,6.49,199,2.17
05/01/2018 10:00,5.13,0.39,0.87,rain,992.53,Partly Cloudy,6.81,207,2.4
05/01/2018 11:00,4.88,0.21,0.84,rain,992.47,Clear,7.12,212,3.27
05/01/2018 12:00,5.51,0.61,0.79,rain,992.03,Mostly Cloudy,7.94,222,3.94
05/01/2018 13:00,5.97,0.61,0.71,rain,992.44,Mostly Cloudy,8.61,230,4.72
05/01/2018 14:00,5.03,0.6,0.7,,992.67,Mostly Cloudy,8.11,238,5.5
05/01/2018 15:00,4.9,0.67,0.71,rain,993.37,Mostly Cloudy,7.67,243,4.49
05/01/2018 16:00,4.94,0.48,0.74,rain,994.31,Partly Cloudy,6.98,243,2.91
05/01/2018 17:00,3.47,0.57,0.79,rain,995.07,Partly Cloudy,6.02,254,3.38
05/01/2018 18:00,3.43,0.67,0.81,,995.61,Mostly Cloudy,5.45,263,2.51
05/01/2018 19:00,3.5,0.83,0.82,,996.84,Mostly Cloudy,5,259,1.87
05/01/2018 20:00,3.16,0.37,0.84,,997.76,Partly Cloudy,4.26,251,1.46
05/01/2018 21:00,3.38,0.13,0.87,,998.44,Clear,3.38,240,0.94
05/01/2018 22:00,2.97,0,0.9,,999.02,Clear,2.97,227,0.64
05/01/2018 23:00,2.54,0,0.9,,999.96,Clear,2.54,213,0.67
06/01/2018 00:00,2.24,0.13,0.91,,1000.81,Clear,2.24,233,0.33
06/01/2018 01:00,1.89,0.06,0.93,,1001.38,Clear,1.89,41,0.11
06/01/2018 02:00,1.68,0.22,0.92,,1001.5,Clear,1.68,24,0.25
06/01/2018 03:00,1.42,0.22,0.93,,1002.18,Clear,1.42,49,0.28
06/01/2018 04:00,1.06,0,0.94,,1002.72,Clear,1.06,358,0.5
06/01/2018 05:00,0.8,0,0.95,,1003.03,Clear,0.8,357,0.84
06/01/2018 06:00,0.82,0,0.96,,1003.96,Clear,0.82,3,0.73
06/01/2018 07:00,0.79,0,0.95,,1005.13,Clear,0.79,5,0.98
06/01/2018 08:00,0.5,0.04,0.97,,1006.18,Foggy,0.5,4,0.92
06/01/2018 09:00,-0.94,0,0.95,,1007.52,Clear,0.69,1,1.48
06/01/2018 10:00,-0.53,0.17,0.96,,1008.43,Clear,1.27,8,1.65
06/01/2018 11:00,0.39,0.23,0.95,,1009.43,Clear,2.27,8,1.83
06/01/2018 12:00,1.49,0.52,0.93,rain,1010.02,Partly Cloudy,3.44,10,2.06
06/01/2018 13:00,2.09,0.73,0.92,rain,1010.56,Mostly Cloudy,4.23,15,2.38
06/01/2018 14:00,2.34,0.61,0.92,rain,1011.23,Mostly Cloudy,4.76,21,2.84
06/01/2018 15:00,2.44,0.67,0.89,rain,1012.24,Mostly Cloudy,4.96,23,3.02
06/01/2018 16:00,2.49,0.94,0.89,,1013.32,Overcast,5.02,33,3.05
06/01/2018 17:00,2.27,0.94,0.87,,1014.4,Overcast,4.92,26,3.21
06/01/2018 18:00,1.59,0.41,0.86,,1015.69,Partly Cloudy,4.32,23,3.12
06/01/2018 19:00,0.99,0.15,0.86,,1016.77,Clear,3.72,27,2.96
06/01/2018 20:00,0.51,0.05,0.87,,1017.86,Clear,3.31,29,2.97
06/01/2018 21:00,-0.04,0,0.85,,1018.88,Clear,3.01,26,3.2
06/01/2018 22:00,-0.34,0,0.83,,1019.85,Clear,2.71,24,3.11
06/01/2018 23:00,-0.44,0,0.81,,1020.87,Clear,2.57,28,3.04
07/01/2018 00:00,-0.9,0,0.83,,1021.55,Clear,2.37,25,3.31
07/01/2018 01:00,-0.83,0.05,0.82,,1021.73,Clear,2.3,24,3.12
07/01/2018 02:00,-1.11,0,0.82,,1022.14,Clear,2.1,21,3.17
07/01/2018 03:00,-1.43,0.11,0.81,,1022.58,Clear,2.04,22,3.5
07/01/2018 04:00,-1.38,0.05,0.82,,1023.2,Clear,1.92,21,3.22
07/01/2018 05:00,-1.49,0.15,0.83,,1023.42,Clear,1.81,25,3.21
07/01/2018 06:00,-1.11,0.6,0.85,,1024.26,Mostly Cloudy,2.22,30,3.34
07/01/2018 07:00,-0.79,0.74,0.88,,1025.24,Mostly Cloudy,2.52,37,3.41
07/01/2018 08:00,-0.89,0.75,0.89,,1026.17,Mostly Cloudy,2.68,46,3.85
07/01/2018 09:00,-0.85,0.64,0.85,,1026.74,Mostly Cloudy,2.77,48,3.95
07/01/2018 10:00,-0.47,0.31,0.82,,1027.27,Partly Cloudy,3.13,48,4.05
07/01/2018 11:00,0.33,0.31,0.78,,1027.51,Partly Cloudy,4.21,52,5.03
07/01/2018 12:00,1.03,0.28,0.75,rain,1027.2,Partly Cloudy,4.91,52,5.41
07/01/2018 13:00,1.32,0.09,0.71,rain,1027.06,Clear,5.07,57,5.21
